Source	Target	Weight
w60006f4	w63g5dz0	1
w60006f4	w63n434v	1
w60006f4	w65t3wn2	1
w60006f4	w66696rh	1
w60006f4	w66794np	1
w60006f4	w67f3kpm	1
w60006f4	w67h3crq	1
w60006f4	w68g9ffr	2
w60006f4	w68m543d	2
w60006f4	w6b01gx6	2
w60006f4	w6b38kp0	2
w60006f4	w6c82qz0	1
w60006f4	w6cr7rz4	3
w60006f4	w6dn68k9	2
w60006f4	w6fv9b6q	1
w60006f4	w6gq882n	4
w60006f4	w6j49htj	1
w60006f4	w6jd66gz	1
w60006f4	w6n05bth	1
w60006f4	w6nk4g54	2
w60006f4	w6p55q0b	2
w60006f4	w6q061bh	1
w60006f4	w6r525r2	1
w60006f4	w6wh3qkh	1
w60006f4	w6wq14dj	8
w60006f4	w6zk9cxf	2
w60006f4	w6zw3s78	4
w6010spn	w6165774	2
w6010spn	w6fs0n6b	2
w6010spn	w6fv9b6q	1
w6010spn	w6jb6xn6	1
w6010spn	w6n05bth	1
w6010spn	w6n05cnp	1
w6010spn	w6tz45z2	1
w6010spn	w6xt6kzb	2
w6028wf4	w6058f0z	1
w6028wf4	w60h49r3	1
w6028wf4	w63g5dz0	2
w6028wf4	w6427nc6	1
w6028wf4	w66124pd	4
w6028wf4	w68g9ffr	2
w6028wf4	w6b01gx6	1
w6028wf4	w6bv9xp3	2
w6028wf4	w6cr7rz4	3
w6028wf4	w6hf8m7k	2
w6028wf4	w6kx66c3	1
w6028wf4	w6nk4g54	1
w6028wf4	w6qk87r0	1
w6028wf4	w6wq14dj	3
w6028wf4	w6wt9jhx	2
w6028wf4	w6zw3s78	1
w6058f0z	w60h49r3	1
w6058f0z	w6165774	2
w6058f0z	w63g5dz0	2
w6058f0z	w63z8z1g	1
w6058f0z	w66794np	1
w6058f0z	w68d3sbk	1
w6058f0z	w68g9ffr	1
w6058f0z	w6b01gx6	2
w6058f0z	w6c82qz0	1
w6058f0z	w6cr7rz4	1
w6058f0z	w6d59f93	1
w6058f0z	w6fv9b6q	1
w6058f0z	w6hj799d	5
w6058f0z	w6jb6xn6	4
w6058f0z	w6jx3293	1
w6058f0z	w6r525r2	1
w6058f0z	w6rk58z8	1
w6058f0z	w6wt9jhx	3
w6058f0z	w6zk9cxf	2
w6086z81	w6912v76	1
w6086z81	w69891jc	2
w6086z81	w6b38kp0	1
w6086z81	w6s1844s	1
w6086z81	w6t72g07	1
w6096wx2	w67b4w4h	1
w6096wx2	w6g77m31	1
w6096wx2	w6gj3q0h	1
w6096wx2	w6mt4j9v	1
w6096wx2	w6n05cnp	1
w6096wx2	w6xt6kpr	1
w60h49r3	w6165774	1
w60h49r3	w6427nc6	1
w60h49r3	w6553d40	1
w60h49r3	w6b01gx6	1
w60h49r3	w6fs0n6b	1
w60h49r3	w6gq882n	1
w60h49r3	w6n05bth	1
w60h49r3	w6wh3qkh	1
w60h49r3	w6wq14dj	1
w60h49r3	w6zk9cxf	1
w60h49r3	w6zw3s78	1
w60h49sj	w63n434v	1
w60h49sj	w64r0gvn	1
w60h49sj	w67f3kpm	1
w60h49sj	w68x44wf	1
w60h49sj	w69h6c86	1
w60h49sj	w6c82qz0	1
w60h49sj	w6cr7rz4	1
w60h49sj	w6cz4d1t	1
w60h49sj	w6hv3dtz	1
w60h49sj	w6jx3293	1
w60h49sj	w6n05bth	2
w60h49sj	w6n69bqr	1
w60h49sj	w6nk4g54	1
w60h49sj	w6r525r2	1
w60h49sj	w6wh4nqv	1
w60h49sj	w6wt9jhx	1
w60h49sj	w6x74cd2	1
w6107trk	w6165774	1
w6107trk	w66124pd	1
w6107trk	w6621qxj	1
w6107trk	w66794np	1
w6107trk	w68m543d	2
w6107trk	w69h6c86	1
w6107trk	w6b01gx6	2
w6107trk	w6bd4q25	1
w6107trk	w6c82qz0	8
w6107trk	w6c931wj	3
w6107trk	w6hj799d	1
w6107trk	w6jb6xn6	1
w6107trk	w6r032ff	1
w6107trk	w6wt9jhx	1
w6107trk	w6x74cd2	1
w6107trk	w6zk9cxf	1
w6165774	w63n434v	1
w6165774	w63s1j4g	1
w6165774	w63z8z1g	3
w6165774	w6427nc6	1
w6165774	w65t3wn2	1
w6165774	w66124pd	1
w6165774	w6621qxj	1
w6165774	w66794np	1
w6165774	w66b7v3g	1
w6165774	w66v1c5g	1
w6165774	w68d3sbk	1
w6165774	w68m543d	2
w6165774	w69h6c86	1
w6165774	w6b01gx6	4
w6165774	w6b38ksb	1
w6165774	w6bd4q25	1
w6165774	w6bv9xp3	4
w6165774	w6c82qz0	6
w6165774	w6cr7rz4	2
w6165774	w6cv5qpd	2
w6165774	w6d01xtv	1
w6165774	w6fv9b6q	8
w6165774	w6hf8m7k	2
w6165774	w6hj799d	4
w6165774	w6hv3dnq	1
w6165774	w6j49htj	1
w6165774	w6jb6xn6	5
w6165774	w6kx66c3	1
w6165774	w6n05bth	3
w6165774	w6n05cnp	3
w6165774	w6n69bqr	1
w6165774	w6nk4g54	1
w6165774	w6p55q0b	1
w6165774	w6ph2gz9	1
w6165774	w6q924kg	4
w6165774	w6tz45z2	1
w6165774	w6w48mwd	1
w6165774	w6wh4nqv	4
w6165774	w6wt9jhx	5
w6165774	w6x16z80	2
w6165774	w6x74cd2	3
w6165774	w6xt6kpr	3
w6165774	w6xx5995	2
w6165774	w6zk9cxf	1
w6165774	w6zq4xpd	1
w6165774	w6zw3s78	1
w61h1brp	w6mt4j9v	1
w61h1brp	w6r31rzq	1
w61p2c7g	w67f3kpm	2
w61p2c7g	w68g9ffr	1
w61p2c7g	w68m543d	2
w61p2c7g	w6b38kp0	1
w61p2c7g	w6cr7rz4	3
w61p2c7g	w6fv9b6q	1
w61p2c7g	w6n05bth	1
w61p2c7g	w6n05cnp	1
w61p2c7g	w6nk4g54	1
w61p2c7g	w6r525r2	1
w61p2c7g	w6sk2b2m	1
w61p2c7g	w6x74cd2	1
w62n51qq	w66v1c5g	1
w62n51qq	w6cr7rz4	1
w62n51qq	w6g77m31	1
w62n51qq	w6gq882n	1
w62n51qq	w6ht6kfw	1
w62n51qq	w6md9qck	1
w62n51qq	w6xt6kpr	2
w63g5dz0	w63n434v	1
w63g5dz0	w63s1j4g	1
