NamesUnique (publd edtn)	CountNames
A. Allen	2
A. Arscott	1
A. Ashead	1
A. Benezet	1
A. Edwards	4
A. Evans	2
A. Gibbins	1
A. Gibbons	1
A. Hewlings	1
A. Hulings	1
A. Inskeep	2
A. Ivins	1
A. Johnson	1
A. Johnston	1
A. Matlack	1
A. Nichol	1
A. Nicolas	1
A. Robert	1
A. Ronalds	1
A. Shurman	1
A. Stiles	1
A. Stokes	2
A. Warrington	3
A. Wil	1
A. Wilkins	1
A. Wills	10
A. Wils	1
Aaron Broadway	1
Aaron Hain	1
Aaron Hews	2
Aaron Howes	3
Aaron Hughes	1
Aaron Hughs	1
Aaron Mills	1
Aaron Pancost	1
Aaron Pencost	2
Aaron Thompson	1
Aaron Walton	1
Aaron Willis	9
Aaron Wills	86
Aaron Wls	1
Ab Matlack	1
Abbe Stokes	1
Abe Lippincott	1
Abe Warrington	1
Abel Clements	2
Abel Crispin	2
Abel Evans	1
Abel Harker	1
Abel Lippincott	7
Abel Nicholson	1
Abel Thomas	7
Abigail Barker	2
Abigail Borton	1
Abigail Evans	5
Abigail Gill	1
Abigail Matlack	3
Abigail Roberts	1
Abigail Saxton	1
Abigail Stokes	6
Abigail Thorn	1
Abner Peacocks	1
Abner Peacok	1
Abner Roger	1
Abner Rogers	4
Abraham Allen	1
Abraham Brown	1
Abraham Cole	1
Abraham Cowley	1
Abraham Edlrige	1
Abraham Eldrige	2
Abraham Elkinton	3
Abraham Evans	1
Abraham Gibbens	1
Abraham Gibbins	5
Abraham Gibbons	5
Abraham Gibbs	1
Abraham Gibins	1
Abraham Griffe	16
Abraham Grise	1
Abraham Hewling	2
Abraham Hewlings	1
Abraham Hewlins	1
Abraham Hibard	1
Abraham Hibbern	1
Abraham Ingle	1
Abraham Inskips	1
Abraham Kinsey	1
Abraham Lower	1
Abraham Matlack	10
Abraham Prickit	1
Abraham Stokes	1
Abraham Warringt[on]	1
Abraham Warrington	17
Abraham Woolman	1
Abram Elkinton	1
Abram Griffe	2
Abram Warrington	1
Abram Worinton	1
Adam Riche	1
Agilla Jones	1
Agnes Haines	1
Agnes Hewlings	1
Agnes Lippincott	2
Agnes Roberts	2
Agnes Shoemaker	1
Aguila Lippincott	1
Aguila Shinn	1
Alec Hatcher	1
Alexander Arscott	1
Alexander Cruden	1
Alexander Pope	3
Alice Hayes	1
Alice Hays	1
Alice Needham	2
Allen Farquhar	3
Amariah Ballinger	1
Amasiah Lippincott	1
Ambrose Chapman	1
Ambrose Searle	1
Ame Foster	1
Ame Fosters	1
Amelia Nicholas	1
Amos Ashead	2
Amos Bullock	5
Amos Buzby	4
Amos Evins	2
Amos Haines	13
Amos Hewlings	1
Amos Hilburn	5
Amos Hillburn	2
Amos Kilburn	2
Amos Mustin	1
Amos Peasley	1
Amos Peasly	3
Amos Wille	1
Amos Willis	1
Amos Willits	1
Amy Prier	1
Andrew Crockit	1
Ann Borton	1
Ann Burrough	2
Ann Burroughs	1
Ann Edward	1
Ann Edwards	60
Ann French	2
Ann Frich	1
Ann Ga[u]nt	1
Ann Gaunt	7
Ann Hackney	1
Ann Hampton	1
Ann Holishead	1
Ann Imlay	1
Ann Jessup	4
Ann Jesup	1
Ann Knight	2
Ann Lanin	1
Ann Lippincott	1
Ann Matlack	1
Ann Mifflin	2
Ann Moore	5
Ann Morton	1
Ann Qucksil	1
Ann Quicksall	1
Ann Quicksil	6
Ann Quicksill	2
Ann Stogdon	1
Ann Stokes	4
Ann Strattan	1
Ann Street	1
Ann Sylvester	1
Ann Tomlinson	1
Ann Wilits	1
Ann Wilkins	1
Ann Willis	3
Anna Hollinshead	1
Anna Maria Shurman	1
Anna Matlack	1
Anna Mifflin	1
Annanias Ga[u]nts	1
Anne Cowperthwaite	3
Anne Mifflin	1
Anner Haines	1
Anonias Gatit	1
Anthony Allen	1
Anthony Allens	1
Anthony Benezet	12
Anthony Lowther	1
Anthony Morris	1
Anto[ny] Morris	1
Aquilla Lippincott	3
Aquilla Shinn	1
Archibald Robbins	2
Armelia Nicolas	1
Armella Nicholas	1
Armella Nicolas	1
Arn Skiler	1
Aron Wills	1
Arthur Burdil	1
Arthur Collins	1
Arthur Dolinson	1
Arthur Howel	1
Arthur Howell	5
Arthur Howill	7
Arthur Vnenel	1
Asa Engle	1
Asa Hirbey	1
Asa Kerby	2
Asa Matlack	2
Asa Roberts	1
Asa Walmsley	1
Asher Woolman	2
Atlantic Stokes	1
Atlantica Stokes	1
Atlantick Hooton	1
Atte Matlack	1
Aunt Ann	1
Aunt Mary Harvey	1
Aunt Mary Wood	1
B. Cooper	2
B. Franklyn	1
B. Gilbert	1
B. Hough	1
B. Hunt	1
B. Mason	1
B. Pine	1
B. Reeves	2
B. Rodman	1
B. Sharpless	1
B. Sweet	1
B. Swet	9
B. Swets	1
B. Swett	1
B. Toys	1
B. Warrington	1
B[enjami]n Thomas	1
Barilla Brain	1
Barnaby Coffin	1
Barnaby Nixon	4
Barzila Coats	2
Barzilia Coats	1
Barzillai Braddock	1
Barzillai Coats	5
Barzillai Cotes	1
Barzillai Lippincott	3
Beke Warrington	2
Ben Burrows	1
Ben Hadad	1
Ben Swet	1
Benajah Butcher	3
Benejah Butcher	1
Benjamin Archer	2
Benjamin Barr	1
Benjamin Bishop	1
Benjamin Bispham	4
Benjamin Borton	2
Benjamin Burrough	1
Benjamin Burroughs	1
Benjamin Burrous	1
Benjamin Burrow	1
Benjamin Burrows	1
Benjamin Butcher	1
Benjamin Charetons	1
Benjamin Clerk	10
Benjamin Clerks	2
Benjamin Cooper	5
Benjamin Cox	1
Benjamin Curliss	1
Benjamin Field	1
Benjamin Gilbert	3
Benjamin Gilbert Jr	1
Benjamin Gillingham	1
Benjamin Haines	6
Benjamin Haris	1
Benjamin Haugh	1
Benjamin Hopewell	1
Benjamin Houghs	1
Benjamin Huff	2
Benjamin Hunt	3
Benjamin Inskeep	1
Benjamin Jicin	1
Benjamin Jones	13
Benjamin Lay	4
Benjamin Linton	10
Benjamin Lippincott	4
Benjamin Mason	3
Benjamin Matlack	3
Benjamin Maul	1
Benjamin Moor	1
Benjamin Moore	2
Benjamin Moors	1
Benjamin Morgan	7
Benjamin Perry	1
Benjamin Pine	4
Benjamin Pitfield	1
Benjamin Rambow	1
Benjamin Reeve	17
Benjamin Reeves	1
Benjamin Ridgway	1
Benjamin Rodman	1
Benjamin Scattergood	1
Benjamin Sharples	1
Benjamin Sharpless	2
Benjamin Stiles	1
Benjamin Sweet	1
Benjamin Sweets	1
Benjamin Swet	20
Benjamin Swett	34
Benjamin Test	1
Benjamin Thackery	2
Benjamin Thomas	3
Benjamin Tomlinson	1
Benjamin Warrington	6
Benjamin White	5
Benjamin Williamson	1
Benjamin Wright	2
Benne Warrington	2
Bernard Tailor	1
Bernie Warrington	1
Bersheba Evans	1
Berzellai Coate	1
Bethuel Moore	1
Betsey Purington	1
Betsey Purinton	1
Betsey Purrington	1
Betsy Bates	1
Betty Lippincott	1
Beulah Haines	1
Bons Perry	1
Brother Enoch	1
Brother Joseph	1
Bulah Clement	1
Bulah Hollen	1
Bulah John	1
Bulak Clements	1
C. Albertson	1
C. Burroughs]	1
C. Came	1
C. Crispin	1
C. Emlen	1
C. French	3
C. Frinch	1
C. Jones	2
C. Justice]	1
C. Lent	1
C. Lippincott	1
C. Offley	1
Cal Evans	1
Caleb Atkinson	1
Caleb Austin	1
Caleb Bickum	1
Caleb Borton	4
Caleb Bourton	1
Caleb Byrns	2
Caleb Crispin	5
Caleb Evan	4
Caleb Evans	27
Caleb Evins	2
Caleb Haines	1
Caleb Hunt	1
Caleb Lippincott	24
Caleb McCumber	2
Caleb Peirce Jr	1
Caleb Pierce	2
Caleb Shreve	1
Casper Haines	1
Cate Lippincott	1
Catey Lippincott	1
Catharine Haines	1
Catharine Phillips	2
Catharine Phillips]	1
Catherine Leeds	1
Catlet Jones	1
Caty Lippincott	2
Chalkley Abertson	1
Chalkley Albertson	2
Chambers Walters	1
Charity Cook	6
Charles Conrow	1
Charles Conrows	1
Charles Elliot	1
Charles French	13
